Times,Track,Country
280,TT Circuit Assen,NL
168,Automotodrom Brno,CZ
131,Spa-Francorchamps,BE
125,Sachsenring,DE
118,Circuito de Jerez - Angel Nieto,ES
116,Autodromo Internazionale del Mugello,IT
116,Le Mans,FR
114,Isle of Man,GB
111,Monza,IT
102,Misano World Circuit Marco Simoncelli,IT
95,Hockenheim,DE
94,Circuit de Barcelona-Catalunya,ES
87,Belfast,IR
78,Phillip Island,AU
77,Circuit Ricardo Tormo,ES
76,Jarama,ES
73,Silverstone Circuit,GB
72,Imatra,FI
72,Nurburgring,DE
71,Salzburgring,AT
70,Donington Park,GB
66,Mobility Resort Motegi,JP
66,Sepang International Circuit,MY
63,Anderstorp,SE
60,Lusail International Circuit,QA
56,Suzuka,JP
55,Montjuïc,ES
53,Imola,IT
46,Rijeka,YU
43,Paul Ricard,FR
42,MotorLand Aragón,ES
39,Estoril Circuit,PT
37,Red Bull Ring - Spielberg,AT
36,Opatija,YU
31,Oscar A. Galvez,AR
28,Clermont-Ferrand,FR
27,Circuit Of The Americas,US
27,Nelson Piquet,BR
24,Indianapolis Motor Speedway,US
23,Mazda Raceway,US
22,Solitude,DE
21,Termas de Río Hondo,AR
21,Shah Alam,MY
19,Berne,CH
18,Phakisa Freeway,ZA
18,Eastern Creek,AU
12,Shanghai Circuit,CN
12,San Carlos,VE
12,Autódromo Internacional do Algarve,PT
9,Chang International Circuit,TH
9,Istanbul Park Circuit,TR
9,Kyalami,ZA
8,Rouen,FR
8,Nogaro,FR
8,Tampere,FI
8,Fisco,JP
8,Daytona,US
7,Kristianstad,SE
7,Karlskoga,SE
6,Sentul,ID
6,Hungaroring,HU
6,Goiania,BR
5,KymiRing,FI
4,Hedemora,SE
3,Reims,FR
3,Pertamina Mandalika Circuit,ID
3,Mosport,CA
3,Interlagos,BR
3,Magny Cours,FR
3,Johor,MY
3,Albi,FR
2,Schotten,DE
