Season,Track,Riders` Nation,Class
2022,Termas de Río Hondo,ES,MotoGP™
2021,Circuit Ricardo Tormo,ES,Moto3™
2021,Misano World Circuit Marco Simoncelli,IT,MotoE™
2021,Misano World Circuit Marco Simoncelli,IT,Moto3™
2021,Silverstone Circuit,IT,Moto3™
2020,Circuit Ricardo Tormo,ES,MotoGP™
2020,MotorLand Aragón,ES,MotoGP™
2020,Misano World Circuit Marco Simoncelli,IT,MotoE™
2020,Misano World Circuit Marco Simoncelli,ES,MotoGP™
2020,Misano World Circuit Marco Simoncelli,IT,Moto2™
2020,Circuito de Jerez - Angel Nieto,IT,Moto2™
2019,Misano World Circuit Marco Simoncelli,IT,MotoE™
2019,Silverstone Circuit,ES,MotoGP™
2019,Le Mans,ES,Moto2™
2019,Circuito de Jerez - Angel Nieto,ES,MotoGP™
2018,Chang International Circuit,IT,Moto3™
2018,TT Circuit Assen,ES,MotoGP™
2017,Circuit Ricardo Tormo,ES,Moto3™
2017,Mobility Resort Motegi,IT,Moto3™
2017,MotorLand Aragón,ES,MotoGP™
2017,Automotodrom Brno,ES,MotoGP™
2017,Circuito de Jerez - Angel Nieto,ES,MotoGP™
2016,TT Circuit Assen,IT,Moto3™
2015,Circuit Ricardo Tormo,ES,MotoGP™
2015,Silverstone Circuit,IT,MotoGP™
2015,Le Mans,IT,Moto3™
2015,Lusail International Circuit,IT,MotoGP™
2014,Sachsenring,ES,MotoGP™
2014,Termas de Río Hondo,ES,MotoGP™
2013,Circuit Ricardo Tormo,ES,MotoGP™
2013,Mobility Resort Motegi,ES,MotoGP™
2013,Phillip Island,ES,Moto3™
2013,Sepang International Circuit,ES,MotoGP™
2013,MotorLand Aragón,ES,Moto3™
2013,MotorLand Aragón,ES,Moto2™
2013,Misano World Circuit Marco Simoncelli,ES,MotoGP™
2013,Misano World Circuit Marco Simoncelli,ES,Moto3™
2013,Silverstone Circuit,ES,Moto3™
2013,Silverstone Circuit,ES,MotoGP™
2013,Automotodrom Brno,ES,MotoGP™
2013,Indianapolis Motor Speedway,ES,Moto3™
2013,Indianapolis Motor Speedway,ES,MotoGP™
2013,Sachsenring,ES,Moto3™
2013,TT Circuit Assen,ES,Moto3™
2013,Circuit de Barcelona-Catalunya,ES,MotoGP™
2013,Circuit de Barcelona-Catalunya,ES,Moto3™
2013,Autodromo Internazionale del Mugello,ES,Moto3™
2013,Le Mans,ES,Moto3™
2013,Circuito de Jerez - Angel Nieto,ES,MotoGP™
2013,Circuit Of The Americas,ES,Moto3™
2013,Circuit Of The Americas,ES,MotoGP™
2013,Lusail International Circuit,ES,Moto3™
2012,Circuit Ricardo Tormo,ES,Moto2™
2012,Mobility Resort Motegi,ES,Moto2™
2012,Mobility Resort Motegi,ES,MotoGP™
2012,Indianapolis Motor Speedway,ES,Moto2™
2011,Circuit Ricardo Tormo,ES,125cc
2011,Indianapolis Motor Speedway,ES,Moto2™
2011,TT Circuit Assen,ES,125cc
2011,Le Mans,ES,125cc
2010,Phillip Island,ES,125cc
2010,Sepang International Circuit,ES,125cc
2010,Misano World Circuit Marco Simoncelli,ES,125cc
2010,Automotodrom Brno,ES,125cc
2010,TT Circuit Assen,ES,125cc
2010,Autodromo Internazionale del Mugello,ES,125cc
2010,Le Mans,ES,125cc
2010,Circuito de Jerez - Angel Nieto,ES,125cc
2010,Lusail International Circuit,ES,125cc
2009,Sachsenring,ES,125cc
2006,Mobility Resort Motegi,IT,MotoGP™
2006,Circuit de Barcelona-Catalunya,ES,125cc
2006,Istanbul Park Circuit,ES,125cc
2005,Automotodrom Brno,IT,MotoGP™
2005,Autodromo Internazionale del Mugello,IT,MotoGP™
2004,Mobility Resort Motegi,IT,125cc
2003,Estoril Circuit,IT,MotoGP™
2003,Autodromo Internazionale del Mugello,IT,MotoGP™
2003,Suzuka,IT,MotoGP™
2001,Phillip Island,IT,MotoGP™
2001,TT Circuit Assen,IT,MotoGP™
2001,Circuit de Barcelona-Catalunya,IT,MotoGP™
2000,Phillip Island,IT,MotoGP™
2000,Phillip Island,JP,125cc
2000,Suzuka,JP,125cc
2000,Suzuka,JP,250cc
2000,Phakisa Freeway,JP,250cc
1998,Imola,IT,250cc
1998,Suzuka,JP,125cc
1998,Suzuka,JP,250cc
1997,Phillip Island,JP,125cc
1997,Autodromo Internazionale del Mugello,IT,250cc
1997,Suzuka,JP,125cc
1997,Suzuka,JP,250cc
1996,Suzuka,JP,125cc
1995,Automotodrom Brno,JP,125cc
1995,Suzuka,JP,125cc
1995,Eastern Creek,JP,125cc
1994,Circuit de Barcelona-Catalunya,IT,250cc
1994,Le Mans,JP,125cc
1994,Le Mans,IT,250cc
1994,Autodromo Internazionale del Mugello,JP,125cc
1994,Hockenheim,IT,250cc
1994,Salzburgring,IT,250cc
1994,Suzuka,JP,125cc
1994,Eastern Creek,IT,250cc
1993,Mazda Raceway,IT,250cc
1993,Shah Alam,JP,250cc
1993,Eastern Creek,US,MotoGP™
1992,Kyalami,IT,250cc
1992,Interlagos,US,MotoGP™
1992,Interlagos,IT,250cc
1992,Donington Park,IT,250cc
1992,Magny Cours,IT,250cc
1992,Hungaroring,US,MotoGP™
1992,TT Circuit Assen,IT,250cc
1992,TT Circuit Assen,IT,125cc
1992,Hockenheim,IT,250cc
1992,Circuit de Barcelona-Catalunya,IT,250cc
1992,Circuit de Barcelona-Catalunya,IT,125cc
1992,Autodromo Internazionale del Mugello,IT,250cc
1991,Automotodrom Brno,IT,125cc
1991,Misano World Circuit Marco Simoncelli,IT,125cc
1990,Phillip Island,IT,125cc
1990,Donington Park,US,MotoGP™
1990,TT Circuit Assen,US,MotoGP™
1989,Goiania,US,MotoGP™
1989,Automotodrom Brno,US,MotoGP™
1989,Automotodrom Brno,ES,80cc
1989,Donington Park,US,MotoGP™
1989,Le Mans,US,MotoGP™
1989,Spa-Francorchamps,US,MotoGP™
1989,Rijeka,US,MotoGP™
1989,Salzburgring,US,MotoGP™
1989,Mazda Raceway,US,MotoGP™
1989,Suzuka,US,MotoGP™
1988,Nurburgring,ES,80cc
1988,Circuito de Jerez - Angel Nieto,ES,80cc
1987,Anderstorp,IT,125cc
1987,Le Mans,IT,125cc
1987,TT Circuit Assen,IT,125cc
1987,Salzburgring,IT,125cc
1987,Circuito de Jerez - Angel Nieto,IT,125cc
1987,Circuito de Jerez - Angel Nieto,ES,80cc
1986,Anderstorp,IT,125cc
1986,TT Circuit Assen,IT,125cc
1986,Nurburgring,IT,125cc
1986,Monza,US,MotoGP™
1986,Jarama,ES,80cc
1986,Jarama,IT,125cc
1985,Misano World Circuit Marco Simoncelli,IT,125cc
1985,Silverstone Circuit,DE,250cc
1985,TT Circuit Assen,IT,125cc
1985,Jarama,IT,125cc
1984,Autodromo Internazionale del Mugello,IT,125cc
1984,Paul Ricard,US,MotoGP™
1984,Nurburgring,US,MotoGP™
1984,Salzburgring,US,MotoGP™
1983,Imola,US,MotoGP™
1983,Silverstone Circuit,US,MotoGP™
1983,Silverstone Circuit,FR,250cc
1983,Spa-Francorchamps,US,MotoGP™
1983,Rijeka,US,MotoGP™
1983,Salzburgring,US,MotoGP™
1983,Monza,US,MotoGP™
1978,Spa-Francorchamps,IT,250cc
1977,Automotodrom Brno,IT,250cc
1977,Imola,IT,125cc
1976,Salzburgring,IT,125cc
1975,Anderstorp,GB,MotoGP™
1975,Anderstorp,IT,125cc
1975,Isle of Man,GB,MotoGP™
1975,Isle of Man,GB,250cc
1974,Isle of Man,GB,350cc
1974,Isle of Man,GB,250cc
1974,Isle of Man,GB,MotoGP™
1974,Nurburgring,DE,250cc
1974,Nurburgring,DE,125cc
1974,Nurburgring,DE,MotoGP™
1973,Isle of Man,GB,250cc
1972,Isle of Man,GB,125cc
1972,Isle of Man,GB,250cc
1972,Imola,IT,MotoGP™
1971,Isle of Man,GB,350cc
1971,Isle of Man,GB,250cc
1970,Monza,IT,350cc
1970,Monza,IT,MotoGP™
1970,TT Circuit Assen,IT,MotoGP™
1970,Opatija,IT,MotoGP™
1968,Monza,IT,MotoGP™
1968,Monza,IT,350cc
1967,Belfast,GB,125cc
1967,Imatra,GB,125cc
1967,Imatra,GB,250cc
1967,Automotodrom Brno,GB,250cc
1967,Sachsenring,GB,125cc
1967,TT Circuit Assen,GB,125cc
1967,Isle of Man,GB,MotoGP™
1967,Clermont-Ferrand,GB,250cc
1966,Monza,IT,350cc
1966,Isle of Man,GB,250cc
1965,Monza,IT,350cc
1964,Isle of Man,GB,MotoGP™
1964,Daytona,GB,MotoGP™
1963,Sachsenring,GB,MotoGP™
1963,Belfast,GB,MotoGP™
1963,Spa-Francorchamps,GB,MotoGP™
1963,TT Circuit Assen,GB,MotoGP™
1963,Isle of Man,GB,MotoGP™
1962,Oscar A. Galvez,AR,MotoGP™
1962,Belfast,GB,MotoGP™
1962,Spa-Francorchamps,GB,MotoGP™
1962,TT Circuit Assen,GB,MotoGP™
1960,Belfast,GB,MotoGP™
1960,Isle of Man,GB,MotoGP™
1960,Isle of Man,GB,350cc
1959,Belfast,GB,MotoGP™
1959,Isle of Man,GB,350cc
1958,Monza,GB,350cc
1958,Monza,IT,125cc
1958,Monza,IT,250cc
1958,Belfast,GB,MotoGP™
1958,Belfast,GB,350cc
1958,Hedemora,GB,MotoGP™
1958,Hedemora,GB,350cc
1958,Nurburgring,GB,350cc
1958,Spa-Francorchamps,IT,125cc
1958,TT Circuit Assen,GB,MotoGP™
1958,Isle of Man,GB,350cc
1957,Monza,IT,250cc
1957,Hockenheim,IT,125cc
1956,Monza,IT,125cc
1956,Monza,IT,250cc
1956,Belfast,GB,350cc
1956,Solitude,IT,125cc
1956,Isle of Man,GB,MotoGP™
1955,Monza,IT,125cc
1955,Belfast,GB,MotoGP™
1955,Belfast,GB,350cc
1955,Isle of Man,GB,350cc
1954,Monza,IT,125cc
1954,Belfast,DE,250cc
1952,Belfast,GB,125cc
1952,Solitude,DE,250cc
1951,Monza,IT,MotoGP™
1951,Monza,IT,125cc
1951,Albi,GB,350cc
1951,Spa-Francorchamps,GB,350cc
1951,Isle of Man,GB,350cc
1951,Berne,IT,250cc
1951,Montjuïc,IT,125cc
1951,Montjuïc,GB,350cc
1950,Monza,IT,125cc
1950,Belfast,GB,MotoGP™
1950,Berne,GB,350cc
1950,TT Circuit Assen,GB,350cc
1950,TT Circuit Assen,IT,125cc
1949,Monza,IT,125cc
1949,Monza,IT,250cc
1949,Spa-Francorchamps,GB,350cc
1949,TT Circuit Assen,GB,350cc
1949,TT Circuit Assen,IT,125cc
1949,Berne,GB,350cc
1949,Berne,IT,125cc
